elapsed_sec,queue_depth,ready_replicas,running_jobs
0,0,1,0
2,0,1,0
4,0,1,0
6,0,1,0
8,0,1,0
11,0,1,0
13,0,1,0
15,0,1,0
17,0,1,0
20,0,1,0
23,0,1,0
25,0,1,0
27,973,1,1
29,973,1,1
32,973,1,1
34,973,4,1
36,973,4,1
38,892,4,4
40,892,4,4
43,892,4,4
45,892,4,4
47,735,4,4
49,735,5,4
52,735,5,4
54,735,5,4
56,735,5,4
58,540,5,5
60,540,5,5
63,540,5,5
65,540,5,5
67,343,5,5
69,343,5,5
72,343,5,5
74,343,5,5
76,343,5,5
79,145,5,5
81,145,5,5
83,145,5,5
85,145,5,5
88,0,5,0
90,0,5,0
92,0,5,0
94,0,5,0
96,0,5,0
99,0,5,0
101,0,5,0
103,0,5,0
105,0,5,0
108,0,5,0
110,0,5,0
112,0,5,0
114,0,5,0
116,0,5,0
119,0,5,0
121,0,5,0
123,0,5,0
125,0,5,0
128,0,5,0
130,0,5,0
132,0,5,0
134,0,5,0
136,0,5,0
139,0,5,0
141,0,5,0
143,0,5,0
145,0,5,0
148,0,5,0
150,0,5,0
152,0,5,0
154,0,5,0
157,0,5,0
159,0,5,0
161,0,5,0
163,0,5,0
165,0,5,0
168,0,5,0
170,0,5,0
172,0,5,0
174,0,5,0
176,0,5,0
179,0,5,0
181,0,5,0
183,0,5,0
185,0,5,0
188,0,5,0
190,0,5,0
192,0,5,0
194,0,5,0
197,0,5,0
199,0,5,0
201,0,5,0
203,0,5,0
205,0,5,0
208,0,5,0
210,0,5,0
212,0,5,0
214,0,5,0
217,0,5,0
219,0,5,0
221,0,5,0
223,0,5,0
225,0,5,0
228,0,5,0
230,0,5,0
232,0,5,0
234,0,5,0
237,0,5,0
239,0,5,0
241,0,5,0
243,0,5,0
245,0,5,0
248,0,5,0
250,0,5,0
252,0,5,0
254,0,5,0
257,0,5,0
259,0,5,0
261,0,5,0
263,0,5,0
266,0,5,0
268,0,5,0
270,0,5,0
272,0,5,0
274,0,5,0
277,0,5,0
279,0,5,0
281,0,5,0
283,0,5,0
286,0,5,0
288,0,5,0
290,0,5,0
292,0,5,0
295,0,5,0
297,0,5,0
299,0,5,0
301,0,5,0
303,0,5,0
306,0,5,0
308,0,5,0
310,0,5,0
312,0,5,0
315,0,5,0
317,0,5,0
319,0,5,0
321,0,5,0
323,0,5,0
326,0,5,0
328,0,5,0
330,0,5,0
332,0,5,0
335,0,5,0
337,0,5,0
339,0,5,0
341,0,5,0
343,0,5,0
346,0,5,0
348,0,5,0
350,0,5,0
352,0,5,0
355,0,5,0
357,0,5,0
359,0,5,0
361,0,5,0
364,0,5,0
366,0,5,0
368,0,5,0
370,0,5,0
372,0,5,0
375,0,5,0
377,0,1,0
379,0,1,0
381,0,1,0
384,0,1,0
386,0,1,0
388,0,1,0
390,0,1,0
392,0,1,0
395,0,1,0
397,0,1,0
399,0,1,0
401,0,1,0
404,0,1,0
406,0,1,0
408,0,1,0
410,0,1,0
412,0,1,0
415,0,1,0
417,0,1,0
419,0,1,0
421,0,1,0
424,0,1,0
426,0,1,0
428,0,1,0
430,0,1,0
433,0,1,0
435,0,1,0
437,0,1,0
439,0,1,0
441,0,1,0
444,0,1,0
446,0,1,0
448,0,1,0
450,0,1,0
453,0,1,0
455,0,1,0
457,0,1,0
459,0,1,0
462,0,1,0
464,0,1,0
466,0,1,0
468,0,1,0
470,0,1,0
473,0,1,0
475,0,1,0
477,0,1,0
479,0,1,0
482,0,1,0
484,0,1,0
486,0,1,0
488,0,1,0
490,0,1,0
493,0,1,0
495,0,1,0
497,0,1,0
499,0,1,0
502,0,1,0
504,0,1,0
506,0,1,0
508,0,1,0
510,0,1,0
513,0,1,0
515,0,1,0
517,0,1,0
519,0,1,0
522,0,1,0
524,0,1,0
526,0,1,0
528,0,1,0
530,0,1,0
533,0,1,0
535,0,1,0
537,0,1,0
539,0,1,0
